,Target,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Sex_F,Sex_I,Sex_M,water,ratio,new6,a2
1254,7,0.425,0.325,0.11,2,0.173,0.045,0.1,0,1,0,0.682,0.173,0.24700000000000005,-0.2874043498469963
1255,7,0.425,0.32,0.1,2,0.126,0.06,0.106,0,1,0,0.708,0.126,0.28600000000000003,-0.3679673376086164
1256,7,0.425,0.31,0.09,2,0.1385,0.065,0.08,0,1,0,0.7164999999999999,0.1385,0.20149999999999996,-0.14185477893690052
1257,8,0.43,0.34,0.1132,2,0.2065,0.086,0.115,0,1,0,0.5925,0.2065,0.24990000000000004,-0.32522940782310067
1258,8,0.43,0.315,0.095,2,0.175,0.08,0.1045,0,1,0,0.6405000000000001,0.175,0.22400000000000003,-0.22119031391883226
1259,7,0.435,0.315,0.11,2,0.1615,0.0715,0.12,0,1,0,0.647,0.1615,0.2985,-0.3986050794412903
1260,9,0.44,0.34,0.12,2,0.2115,0.083,0.12,0,1,0,0.5855,0.2115,0.26849999999999996,-0.3651608725213118
1261,9,0.45,0.33,0.105,2,0.208,0.089,0.12,0,1,0,0.583,0.208,0.24199999999999997,-0.2864017728492242
1262,8,0.455,0.345,0.105,2,0.164,0.0755,0.126,0,1,0,0.6345000000000001,0.164,0.29799999999999993,-0.421870955409534
1263,8,0.455,0.365,0.115,2,0.184,0.108,0.1245,1,0,0,0.5835,0.184,0.295,-0.4417343291702162
1264,8,0.455,0.33,0.1,2,0.358,0.0775,0.11,0,1,0,0.4545,0.358,0.062000000000000055,0.09334331383149491
1265,7,0.46,0.36,0.105,2,0.2225,0.099,0.11,0,1,0,0.5685,0.2225,0.2075,-0.241530549425261
1266,9,0.46,0.35,0.105,2,0.1575,0.077,0.114,0,1,0,0.6515,0.1575,0.28049999999999997,-0.37748632646243074
1267,8,0.46,0.365,0.125,2,0.206,0.1045,0.141,1,0,0,0.5485,0.206,0.32600000000000007,-0.5185614475373312
1268,11,0.465,0.34,0.11,2,0.1425,0.073,0.113,0,1,0,0.6715,0.1425,0.3035,-0.40914574373920065
1269,8,0.47,0.365,0.1,2,0.175,0.0855,0.135,0,1,0,0.6045,0.175,0.29500000000000004,-0.4372343291702162
1270,8,0.47,0.355,0.18,2,0.2055,0.105,0.1505,0,1,0,0.539,0.2055,0.4555,-0.7606742416059029
1271,8,0.47,0.355,0.12,2,0.167,0.0885,0.115,0,1,0,0.6295,0.167,0.30299999999999994,-0.4283412600658002
1272,8,0.475,0.355,0.1,3,0.2535,0.091,0.14,0,1,0,1.5154999999999998,0.12675,0.22650000000000003,-0.1473680967832519
1273,8,0.475,0.38,0.12,2,0.1785,0.0885,0.1505,0,1,0,0.5825,0.1785,0.36249999999999993,-0.6017029124995401
1274,8,0.475,0.36,0.11,2,0.211,0.11,0.15,0,1,0,0.529,0.211,0.30900000000000005,-0.4740438865619001
1275,9,0.48,0.37,0.125,3,0.244,0.101,0.165,0,1,0,1.49,0.122,0.3360000000000001,-0.38493806301254124
1276,8,0.48,0.355,0.115,2,0.2065,0.112,0.132,0,1,0,0.5495,0.2065,0.2875,-0.4074501231474176
1277,8,0.48,0.365,0.1,2,0.2205,0.0835,0.135,0,1,0,0.5609999999999999,0.2205,0.24950000000000003,-0.34313197599812073
1278,8,0.495,0.355,0.12,2,0.214,0.1045,0.1495,0,1,0,0.532,0.214,0.32499999999999996,-0.48913346797677326
1279,7,0.495,0.38,0.13,3,0.2185,0.116,0.16,0,1,0,1.5055,0.10925,0.36150000000000004,-0.42581589284445975
1280,8,0.495,0.395,0.12,3,0.224,0.1375,0.167,0,0,1,1.4714999999999998,0.112,0.3500000000000001,-0.42580443017033587
1281,9,0.5,0.38,0.135,3,0.2945,0.104,0.1565,0,1,0,1.445,0.14725,0.2885,-0.30459833529139285
1282,9,0.5,0.42,0.135,3,0.302,0.1415,0.2065,0,0,1,1.35,0.151,0.38100000000000006,-0.544855886306143
1283,9,0.5,0.375,0.145,3,0.239,0.1375,0.185,0,1,0,1.4385,0.1195,0.42099999999999993,-0.5441158357403926
1284,9,0.5,0.41,0.14,3,0.2585,0.1625,0.196,0,1,0,1.383,0.12925,0.41350000000000003,-0.5762496251422284
1285,7,0.5,0.375,0.125,3,0.259,0.124,0.157,0,1,0,1.46,0.1295,0.30500000000000005,-0.32065430505906917
1286,9,0.5,0.395,0.14,3,0.2925,0.1205,0.195,0,1,0,1.392,0.14625,0.37750000000000006,-0.5034763770447555
1287,8,0.505,0.405,0.13,3,0.3015,0.11,0.18,0,1,0,1.4085,0.15075,0.3185,-0.39945835948549047
1288,7,0.505,0.38,0.12,3,0.2595,0.1435,0.18,0,1,0,1.417,0.12975,0.34049999999999997,-0.40176312222640326
1289,8,0.505,0.395,0.105,3,0.248,0.103,0.171,0,1,0,1.478,0.124,0.30400000000000005,-0.34306484581485486
1290,7,0.515,0.38,0.12,3,0.3265,0.1295,0.16,0,1,0,1.384,0.16325,0.23350000000000004,-0.20577488105104808
1291,13,0.515,0.42,0.135,3,0.337,0.144,0.205,0,1,0,1.314,0.1685,0.3429999999999999,-0.4772166935532478
1292,9,0.515,0.4,0.135,3,0.32,0.1255,0.175,0,1,0,1.3795,0.16,0.3,-0.3579315645895764
1293,10,0.52,0.4,0.13,3,0.233,0.1365,0.18,0,1,0,1.4505,0.1165,0.387,-0.4928814351071344
1294,9,0.52,0.395,0.125,3,0.3005,0.131,0.1905,0,1,0,1.3780000000000001,0.15025,0.3305,-0.40746320595178015
1295,9,0.525,0.4,0.125,3,0.369,0.1385,0.164,0,1,0,1.3285,0.1845,0.20900000000000007,-0.19716606450998453
1296,9,0.525,0.42,0.155,3,0.428,0.1415,0.2045,0,0,1,1.226,0.214,0.291,-0.4055334185694415
1297,9,0.53,0.415,0.13,3,0.3905,0.111,0.167,0,1,0,1.3315,0.19525,0.20350000000000007,-0.2135708969659692
1298,10,0.53,0.42,0.155,3,0.4725,0.111,0.192,0,1,0,1.2245,0.23625,0.22149999999999997,-0.28946653403152345
1299,9,0.53,0.415,0.11,3,0.2525,0.1235,0.189,0,1,0,1.435,0.12625,0.3455,-0.4393589214430075
1300,9,0.53,0.425,0.13,3,0.419,0.1205,0.21,0,1,0,1.2505000000000002,0.2095,0.26099999999999995,-0.3552305076370093
1301,9,0.535,0.4,0.135,3,0.2895,0.121,0.154,0,1,0,1.4355,0.14475,0.2885000000000001,-0.31082976434387327
1302,8,0.535,0.415,0.15,3,0.3595,0.135,0.225,0,1,0,1.2805,0.17975,0.3905,-0.5602097005120866
1303,9,0.535,0.41,0.13,3,0.335,0.144,0.2075,1,0,0,1.3135,0.1675,0.34,-0.45143837583445495
1304,9,0.535,0.435,0.15,3,0.3475,0.1445,0.194,0,0,1,1.314,0.17375,0.34049999999999997,-0.478701413348278
1305,10,0.54,0.42,0.145,3,0.4315,0.163,0.2175,1,0,0,1.188,0.21575,0.2935,-0.4102635933504912
1306,9,0.54,0.42,0.14,3,0.3205,0.1445,0.229,0,1,0,1.306,0.16025,0.4175,-0.6023168953317012
1307,8,0.545,0.435,0.135,3,0.372,0.148,0.227,0,1,0,1.2530000000000001,0.186,0.352,-0.5157392893362718
1308,9,0.545,0.445,0.15,3,0.3535,0.163,0.207,1,0,0,1.2765,0.17675,0.3605,-0.5279115539528868
1309,10,0.545,0.43,0.15,3,0.302,0.1315,0.2545,0,1,0,1.312,0.151,0.5069999999999999,-0.7688064575760899
1310,8,0.545,0.405,0.135,3,0.27,0.1185,0.185,0,1,0,1.4264999999999999,0.135,0.37,-0.4661070049774132
1311,11,0.55,0.43,0.145,3,0.3745,0.171,0.223,0,1,0,1.2315,0.18725,0.3615,-0.5227799196701387
1312,9,0.55,0.405,0.125,3,0.2965,0.137,0.2,1,0,0,1.3665,0.14825,0.35350000000000004,-0.44877496455466465
1313,9,0.55,0.43,0.15,3,0.413,0.1905,0.248,0,0,1,1.1485,0.2065,0.38300000000000006,-0.5814789670036438
1314,10,0.55,0.435,0.14,3,0.3285,0.1555,0.2325,0,1,0,1.2835,0.16425,0.4165000000000001,-0.6150457164593175
1315,9,0.55,0.425,0.135,3,0.3325,0.1545,0.215,0,1,0,1.298,0.16625,0.36749999999999994,-0.512520541736613
1316,9,0.555,0.44,0.14,3,0.407,0.156,0.255,0,0,1,1.182,0.2035,0.38300000000000006,-0.5923409129350099
1317,10,0.555,0.43,0.155,3,0.3135,0.1435,0.28,0,1,0,1.263,0.15675,0.5565000000000001,-0.8587926501551439
1318,9,0.555,0.43,0.14,3,0.341,0.165,0.23,0,1,0,1.264,0.1705,0.39899999999999997,-0.5791035378255611
1319,9,0.555,0.425,0.145,3,0.3485,0.1765,0.225,0,1,0,1.25,0.17425,0.3915,-0.5600986020332299
1320,9,0.56,0.425,0.135,3,0.3715,0.185,0.236,0,1,0,1.2075,0.18575,0.3705,-0.5330681052584473
1321,9,0.56,0.425,0.145,3,0.3095,0.1305,0.2165,0,1,0,1.3435000000000001,0.15475,0.4135,-0.5807989034245223
1322,10,0.56,0.445,0.155,4,0.5565,0.3225,0.2695,1,0,0,1.8515,0.1855,0.2925,-0.40826289299326
1323,9,0.56,0.455,0.145,3,0.547,0.1615,0.235,0,1,0,1.0565,0.2735,0.21299999999999997,-0.3517050856408127
1324,11,0.565,0.44,0.175,3,0.414,0.21,0.21,0,1,0,1.166,0.207,0.35600000000000004,-0.5240657038635856
1325,8,0.565,0.45,0.145,3,0.4215,0.1685,0.225,1,0,0,1.185,0.21075,0.3185,-0.4811518437155479
1326,8,0.565,0.445,0.15,3,0.3635,0.184,0.219,0,0,1,1.2335,0.18175,0.3745,-0.5506971820231444
1327,11,0.565,0.39,0.125,3,0.352,0.13,0.1685,0,0,1,1.3495,0.176,0.235,-0.21533891866316196
1328,10,0.57,0.45,0.145,3,0.2825,0.2195,0.2215,0,1,0,1.2765,0.14125,0.4505,-0.6600786659057449
1329,8,0.57,0.45,0.135,3,0.3815,0.1415,0.245,0,1,0,1.232,0.19075,0.3785,-0.5777656180881029
1330,9,0.57,0.46,0.135,3,0.397,0.2525,0.2655,1,0,0,1.085,0.1985,0.404,-0.6455789723680097
1331,10,0.57,0.435,0.17,3,0.382,0.183,0.2705,0,0,1,1.1645,0.191,0.499,-0.7711541496973411
1332,10,0.57,0.44,0.13,3,0.347,0.1785,0.202,0,1,0,1.2725,0.1735,0.31700000000000006,-0.4325646298872846
1333,9,0.57,0.435,0.125,3,0.383,0.1835,0.275,0,0,1,1.1585,0.1915,0.41700000000000004,-0.6406023854047262
1334,10,0.575,0.42,0.135,3,0.461,0.147,0.2125,1,0,0,1.1795,0.2305,0.23400000000000004,-0.3006192201822541
1335,9,0.575,0.48,0.165,4,0.511,0.2095,0.306,1,0,0,1.9735,0.17033333333333334,0.43099999999999994,-0.6621453158879368
1336,10,0.575,0.46,0.155,3,0.4415,0.176,0.22,0,0,1,1.1625,0.22075,0.3085,-0.4774761352610586
1337,10,0.58,0.46,0.155,4,0.6715,0.273,0.2955,0,0,1,1.76,0.22383333333333333,0.22950000000000004,-0.3661929572211394
1338,10,0.58,0.455,0.135,3,0.405,0.167,0.204,0,0,1,1.224,0.2025,0.2729999999999999,-0.39118576035070235
1339,8,0.58,0.445,0.15,3,0.4,0.156,0.253,1,0,0,1.1909999999999998,0.2,0.406,-0.6216522748347345
1340,9,0.585,0.465,0.155,3,0.4555,0.1965,0.235,0,0,1,1.113,0.22775,0.3245,-0.5170019498652761
1341,10,0.585,0.49,0.185,4,0.522,0.2535,0.335,0,0,1,1.8895,0.17400000000000002,0.518,-0.8146019692193174
1342,10,0.585,0.475,0.16,4,0.48,0.234,0.285,0,1,0,2.0010000000000003,0.16,0.4099999999999999,-0.6022249532193028
1343,10,0.585,0.46,0.165,4,0.5825,0.2345,0.274,0,0,1,1.909,0.19416666666666668,0.2955000000000001,-0.43346122274101373
1344,10,0.585,0.47,0.165,4,0.8,0.229,0.295,0,0,1,1.676,0.26666666666666666,0.11999999999999988,-0.25114718850289774
1345,10,0.585,0.475,0.15,4,0.5315,0.199,0.2885,0,0,1,1.981,0.17716666666666667,0.34550000000000003,-0.5186147204139596
1346,8,0.585,0.45,0.18,3,0.336,0.1855,0.237,0,0,1,1.2414999999999998,0.168,0.49799999999999994,-0.7479689061023289
1347,9,0.59,0.445,0.135,3,0.328,0.1745,0.23,0,1,0,1.2675,0.164,0.40199999999999997,-0.5804908770297915
1348,9,0.59,0.47,0.18,4,0.5985,0.227,0.31,0,0,1,1.8645,0.1995,0.38149999999999995,-0.5962313544202826
1349,10,0.59,0.455,0.155,3,0.388,0.188,0.275,0,0,1,1.149,0.194,0.4720000000000001,-0.7423755127682572
1350,10,0.595,0.465,0.15,3,0.4115,0.196,0.2255,1,0,0,1.167,0.20575,0.3395,-0.5208972816790386
1351,12,0.595,0.465,0.155,4,0.4645,0.112,0.305,1,0,0,2.1185,0.15483333333333335,0.4554999999999999,-0.6612506306390866
1352,10,0.6,0.475,0.17,4,0.508,0.272,0.309,0,0,1,1.911,0.16933333333333334,0.44999999999999996,-0.6749811177666095
1353,11,0.6,0.48,0.155,4,0.451,0.1885,0.325,0,0,1,2.0355,0.15033333333333335,0.5089999999999999,-0.7609483826909167
1354,10,0.6,0.475,0.15,4,0.565,0.2465,0.27,0,1,0,1.9185,0.18833333333333332,0.27500000000000013,-0.4072996477120584
1355,11,0.6,0.465,0.155,4,0.4755,0.25,0.28,1,0,0,1.9945,0.1585,0.39450000000000013,-0.5575596064763184
1356,10,0.6,0.455,0.145,3,0.419,0.1715,0.269,1,0,0,1.1404999999999998,0.2095,0.4090000000000001,-0.6412789846890359
1357,11,0.6,0.46,0.155,3,0.4455,0.189,0.295,0,0,1,1.0705,0.22275,0.4544999999999999,-0.7393388225622892
1358,11,0.605,0.485,0.15,4,0.6315,0.226,0.33,0,1,0,1.8125,0.2105,0.3285,-0.5439344448187318
1359,10,0.605,0.49,0.14,3,0.419,0.206,0.315,0,0,1,1.06,0.2095,0.49100000000000005,-0.8303280760172811
1360,11,0.605,0.435,0.13,3,0.432,0.174,0.26,0,1,0,1.134,0.216,0.34800000000000003,-0.5139723186685756
1361,9,0.605,0.475,0.175,4,0.463,0.2195,0.335,1,0,0,1.9825,0.15433333333333335,0.5569999999999999,-0.8315522119915653
1362,12,0.605,0.47,0.16,4,0.5405,0.2215,0.275,1,0,0,1.963,0.18016666666666667,0.3295000000000001,-0.47896260225331355
1363,10,0.61,0.45,0.15,3,0.407,0.1835,0.25,0,0,1,1.1595,0.2035,0.39300000000000007,-0.5930208429431147
1364,12,0.61,0.48,0.165,4,0.6345,0.257,0.305,0,0,1,1.8035,0.2115,0.3055,-0.4936231007141936
1365,10,0.61,0.475,0.17,4,0.435,0.2335,0.3035,0,0,1,2.028,0.145,0.512,-0.7404634618617365
1366,9,0.61,0.465,0.15,3,0.4495,0.1725,0.286,0,1,0,1.092,0.22475,0.4224999999999999,-0.686142477777774
1367,10,0.61,0.48,0.17,4,0.4565,0.29,0.347,0,0,1,1.9065,0.15216666666666667,0.5775,-0.8681867348537488
1368,10,0.61,0.46,0.16,3,0.494,0.197,0.275,0,0,1,1.0339999999999998,0.247,0.3760000000000001,-0.6131866720976187
1369,10,0.615,0.475,0.155,4,0.4475,0.193,0.2895,1,0,0,2.07,0.14916666666666667,0.4415,-0.6300563125296591
1370,10,0.615,0.47,0.165,4,0.4465,0.2195,0.34,0,0,1,1.994,0.14883333333333335,0.5635,-0.8295551439311916
1371,10,0.615,0.5,0.17,4,0.4845,0.228,0.295,0,0,1,1.9925,0.1615,0.44549999999999995,-0.6766248934720448
1372,12,0.615,0.475,0.165,4,0.4905,0.1955,0.3035,1,0,0,2.0105,0.1635,0.44650000000000006,-0.6558251984436073
1373,10,0.615,0.475,0.17,4,0.4795,0.302,0.3,0,0,1,1.9185,0.15983333333333333,0.46049999999999996,-0.6721347246140705
1374,9,0.615,0.48,0.175,4,0.446,0.3195,0.3,0,0,1,1.9344999999999999,0.14866666666666667,0.504,-0.7326371327658138
1375,10,0.615,0.475,0.155,4,0.484,0.2115,0.355,1,0,0,1.9495,0.16133333333333333,0.536,-0.8113164376662245
1376,10,0.62,0.51,0.175,4,0.5715,0.2385,0.39,0,0,1,1.7999999999999998,0.1905,0.5584999999999999,-0.9156343227951127
1377,12,0.62,0.495,0.18,4,0.5765,0.254,0.355,0,0,1,1.8145,0.19216666666666668,0.4934999999999998,-0.7914641212611044
1378,10,0.62,0.5,0.15,4,0.596,0.3135,0.354,1,0,0,1.7365,0.19866666666666666,0.41200000000000003,-0.6816019842225973
1379,10,0.62,0.475,0.16,4,0.463,0.2685,0.33,1,0,0,1.9385,0.15433333333333335,0.5169999999999999,-0.7630353503695033
1380,9,0.625,0.455,0.17,4,0.4955,0.2345,0.315,0,0,1,1.955,0.16516666666666666,0.4745,-0.6781628402487404
1381,11,0.625,0.505,0.175,4,0.5475,0.256,0.3045,1,0,0,1.892,0.1825,0.4115,-0.6508657680272256
1382,9,0.625,0.515,0.16,4,0.5715,0.326,0.321,1,0,0,1.7815,0.1905,0.39049999999999996,-0.644820383348082
1383,12,0.625,0.48,0.155,4,0.5865,0.239,0.3185,1,0,0,1.8559999999999999,0.1955,0.36050000000000004,-0.5621131026609096
1384,9,0.63,0.485,0.17,4,0.5945,0.345,0.345,1,0,0,1.7155,0.19816666666666669,0.4355,-0.6918400688686449
1385,11,0.63,0.505,0.18,4,0.6025,0.295,0.315,0,1,0,1.7875,0.20083333333333334,0.38749999999999996,-0.6348349751404977
1386,12,0.63,0.485,0.145,4,0.5065,0.1785,0.3365,0,0,1,1.9785,0.1688333333333333,0.45650000000000013,-0.6940545038871275
1387,10,0.63,0.475,0.145,4,0.5165,0.2195,0.28,0,1,0,1.984,0.17216666666666666,0.33350000000000013,-0.4765700955546872
1388,12,0.63,0.495,0.16,4,0.497,0.221,0.315,0,0,1,1.967,0.16566666666666666,0.45299999999999996,-0.6879019254379671
1389,10,0.635,0.49,0.16,4,0.534,0.1865,0.3455,0,0,1,1.934,0.17800000000000002,0.47699999999999987,-0.7392752937973167
1390,9,0.635,0.5,0.165,4,0.705,0.2645,0.39,1,0,0,1.6404999999999998,0.235,0.40500000000000014,-0.7129470724917918
1391,9,0.635,0.495,0.175,4,0.707,0.2725,0.323,1,0,0,1.6975,0.23566666666666666,0.28900000000000003,-0.5110347797264494
1392,10,0.635,0.475,0.17,4,0.5205,0.2695,0.3665,0,0,1,1.8435,0.1735,0.5525,-0.8395187490758558
1393,10,0.635,0.51,0.155,3,0.405,0.2255,0.31,0,0,1,1.0594999999999999,0.2025,0.5249999999999999,-0.8820008970946067
1394,15,0.64,0.565,0.23,4,0.644,0.372,0.406,0,0,1,1.5779999999999998,0.21466666666666667,0.628,-1.0844058985094698
1395,10,0.64,0.525,0.18,4,0.4865,0.2995,0.4075,0,0,1,1.8065,0.16216666666666665,0.6884999999999999,-1.0873525361502066
1396,11,0.645,0.51,0.16,4,0.556,0.2385,0.345,0,0,1,1.8605,0.18533333333333335,0.45399999999999996,-0.7296819398445057
1397,10,0.645,0.5,0.195,4,0.6165,0.3515,0.3725,0,0,1,1.6595,0.20550000000000002,0.5185,-0.8405172274387361
1398,11,0.645,0.525,0.16,4,0.7455,0.245,0.4325,0,0,1,1.577,0.24850000000000003,0.4395,-0.8174932374001769
1399,11,0.65,0.505,0.165,4,0.4785,0.274,0.349,1,0,0,1.8985,0.1595,0.5495000000000001,-0.8392967596561045
1400,11,0.65,0.59,0.22,4,0.77,0.378,0.435,1,0,0,1.4169999999999998,0.25666666666666665,0.54,-1.0388245648348795
1401,11,0.65,0.525,0.175,4,0.6865,0.3585,0.405,0,0,1,1.55,0.22883333333333333,0.47350000000000014,-0.8359451717069555
1402,9,0.65,0.51,0.19,4,0.7155,0.3735,0.375,0,0,1,1.536,0.23850000000000002,0.41449999999999987,-0.7313437586226237
1403,10,0.65,0.51,0.17,4,0.7245,0.349,0.391,1,0,0,1.5354999999999999,0.24150000000000002,0.3975000000000001,-0.714875586195448
1404,10,0.655,0.525,0.19,4,0.564,0.3215,0.3985,1,0,0,1.716,0.18799999999999997,0.6130000000000001,-0.991361753876103
1405,13,0.655,0.535,0.205,4,0.7305,0.3595,0.46,0,0,1,1.45,0.24350000000000002,0.5995,-1.0562207352217778
1406,10,0.655,0.52,0.19,4,0.6,0.3865,0.383,1,0,0,1.6305,0.19999999999999998,0.5459999999999999,-0.8963390112623646
1407,10,0.655,0.49,0.175,4,0.6395,0.294,0.365,0,0,1,1.7015,0.21316666666666664,0.4405000000000001,-0.7165371233016833
1408,10,0.66,0.495,0.21,4,0.724,0.3525,0.3925,1,0,0,1.531,0.24133333333333332,0.4810000000000001,-0.8151756538394865
1409,10,0.66,0.515,0.17,4,0.615,0.3125,0.3575,1,0,0,1.715,0.205,0.43999999999999995,-0.7321711325569199
1410,10,0.665,0.53,0.18,4,0.6345,0.342,0.435,1,0,0,1.5885,0.2115,0.5955,-1.003711169735009
1411,11,0.67,0.53,0.225,4,0.63,0.487,0.3725,1,0,0,1.5105,0.21,0.5650000000000001,-0.9307043107726763
1412,10,0.67,0.505,0.175,4,0.4375,0.271,0.3745,1,0,0,1.917,0.14583333333333334,0.6615,-0.9864108121790748
1413,13,0.675,0.545,0.185,4,0.876,0.3135,0.469,0,0,1,1.3415,0.292,0.43199999999999983,-0.8744485184707878
1414,9,0.685,0.545,0.205,4,0.8145,0.416,0.461,0,0,1,1.3085,0.2715,0.5175000000000001,-0.9674763801639791
1415,11,0.695,0.565,0.19,4,0.7465,0.399,0.4975,1,0,0,1.3569999999999998,0.24883333333333335,0.6285,-1.1296070113089969
1416,12,0.7,0.545,0.13,4,0.6725,0.374,0.195,1,0,0,1.7585,0.22416666666666665,-0.022499999999999964,-0.0580423911018802
1417,10,0.705,0.565,0.1552,4,1.1075,0.4865,0.512,0,0,1,0.8940000000000001,0.36916666666666664,0.2269000000000001,-0.6920076013436709
1418,11,0.705,0.555,0.215,4,1.0465,0.383,0.528,0,0,1,1.0425,0.34883333333333333,0.4395,-0.9642006432354863
1419,12,0.705,0.57,0.18,4,0.96,0.4195,0.43,1,0,0,1.1905000000000001,0.32,0.26,-0.6720681805672678
1420,11,0.71,0.55,0.17,4,0.743,0.345,0.45,1,0,0,1.462,0.24766666666666667,0.497,-0.9091833756810191
1421,13,0.72,0.575,0.17,4,0.913,0.389,0.51,1,0,0,1.188,0.30433333333333334,0.44700000000000006,-0.9426211155868399
1422,12,0.72,0.575,0.215,4,0.9515,0.564,0.5365,0,0,1,0.9480000000000004,0.31716666666666665,0.5514999999999999,-1.105567656477405
1423,11,0.725,0.6,0.2,4,0.697,0.3585,0.595,1,0,0,1.3495000000000001,0.2323333333333333,0.8929999999999999,-1.5131562669998733
1424,11,0.73,0.58,0.19,4,0.6785,0.4345,0.52,1,0,0,1.367,0.22616666666666665,0.7414999999999999,-1.2656875449565725
1425,12,0.735,0.565,0.205,4,0.949,0.46,0.565,1,0,0,1.026,0.3163333333333333,0.5909999999999999,-1.1505354416965172
1426,9,0.745,0.57,0.215,4,1.1565,0.446,0.558,1,0,0,0.8395000000000001,0.3855,0.38949999999999996,-0.950855039698061
1427,14,0.75,0.61,0.235,4,1.232,0.519,0.612,1,0,0,1.637,0.308,0.46199999999999997,-1.1393852483145261
1428,14,0.815,0.65,0.25,4,0.8905,0.42,0.7975,1,0,0,0.8919999999999999,0.29683333333333334,1.2045,-1.9808930095821595
1429,3,0.14,0.105,0.035,2,0.0055,0.0025,0.004,0,1,0,0.988,0.0055,0.07250000000000001,0.3276243736959995
1430,4,0.23,0.165,0.06,2,0.019,0.0145,0.036,0,1,0,0.9305,0.019,0.17300000000000001,-0.05150834902581472
1431,7,0.365,0.265,0.135,2,0.105,0.047,0.0605,0,1,0,0.7875,0.105,0.28600000000000003,-0.321617115943861
1432,5,0.365,0.255,0.08,2,0.0785,0.0345,0.053,0,1,0,0.834,0.0785,0.1875,-0.04811370357651912
1433,6,0.37,0.27,0.095,2,0.1325,0.041,0.0615,0,1,0,0.765,0.1325,0.1805,-0.05850450011336608
1434,7,0.375,0.28,0.085,2,0.187,0.046,0.067,0,1,0,0.7,0.187,0.11700000000000005,0.08425277834074285
1435,5,0.385,0.3,0.09,2,0.1225,0.044,0.0675,0,1,0,0.766,0.1225,0.1925,-0.11874358400514098
1436,5,0.395,0.295,0.09,2,0.143,0.0665,0.0765,0,1,0,0.714,0.143,0.18999999999999997,-0.11001391166693775
1437,6,0.4,0.29,0.11,2,0.188,0.0455,0.0825,0,1,0,0.6839999999999999,0.188,0.197,-0.131784676772016
1438,7,0.4,0.3,0.09,2,0.1185,0.061,0.08,0,1,0,0.7404999999999999,0.1185,0.22149999999999997,-0.18934714020416227
1439,8,0.405,0.31,0.095,2,0.1785,0.064,0.0855,0,1,0,0.6719999999999999,0.1785,0.1825,-0.11808365207207683
1440,7,0.405,0.29,0.09,2,0.112,0.075,0.0815,0,1,0,0.7315,0.112,0.23099999999999998,-0.19792706994784748
1441,6,0.405,0.3,0.105,2,0.1455,0.061,0.0805,0,1,0,0.7130000000000001,0.1455,0.2255,-0.20123431215579823
1442,5,0.41,0.32,0.095,2,0.141,0.063,0.073,0,1,0,0.7230000000000001,0.141,0.19499999999999998,-0.14370160051570685
1443,9,0.415,0.315,0.115,2,0.2015,0.065,0.103,0,0,1,0.6305000000000001,0.2015,0.2345,-0.2594576084197282
1444,6,0.425,0.34,0.105,2,0.2015,0.0905,0.088,0,1,0,0.62,0.2015,0.1845,-0.16091468502171574
1445,6,0.43,0.34,0.105,2,0.2385,0.0745,0.1075,0,1,0,0.5795,0.2385,0.1865,-0.18236127124067023
1446,5,0.44,0.34,0.105,2,0.164,0.08,0.1015,0,1,0,0.6545,0.164,0.24900000000000003,-0.3006185380836869
1447,8,0.44,0.32,0.12,2,0.2435,0.092,0.1025,0,0,1,0.562,0.2435,0.20149999999999996,-0.18481261434057178
1448,9,0.44,0.365,0.11,2,0.213,0.089,0.1135,0,1,0,0.5845,0.213,0.234,-0.31648852410678474
1449,6,0.45,0.335,0.125,2,0.2165,0.126,0.11,0,0,1,0.5475,0.2165,0.25349999999999995,-0.3148928076280276
1450,7,0.455,0.335,0.135,3,0.274,0.0995,0.1065,0,1,0,1.52,0.137,0.20899999999999996,-0.08905273578882927
1451,8,0.46,0.355,0.11,2,0.1975,0.096,0.125,0,1,0,0.5815,0.1975,0.27249999999999996,-0.3807552903013628
1452,9,0.47,0.345,0.14,2,0.229,0.1105,0.116,0,1,0,0.5445,0.229,0.28300000000000003,-0.3866505429085938
1453,6,0.47,0.35,0.125,2,0.19,0.1165,0.1175,0,1,0,0.5760000000000001,0.19,0.295,-0.41124450703365795
1454,6,0.47,0.355,0.12,2,0.126,0.0835,0.1365,0,1,0,0.6539999999999999,0.126,0.387,-0.6103623747551312
1455,8,0.475,0.37,0.125,3,0.347,0.136,0.142,0,0,1,1.375,0.1735,0.18700000000000006,-0.11746207701350755
1456,7,0.475,0.365,0.115,2,0.2175,0.093,0.1165,0,1,0,0.573,0.2175,0.24550000000000002,-0.3269202366321111
1457,7,0.475,0.365,0.115,3,0.281,0.117,0.1335,1,0,0,1.4685,0.1405,0.21599999999999997,-0.14409860402570673
1458,7,0.48,0.36,0.125,3,0.2795,0.1025,0.147,0,1,0,1.471,0.13975,0.2645,-0.23640898610514718
1459,6,0.485,0.38,0.12,2,0.2075,0.1075,0.147,0,1,0,0.538,0.2075,0.3265,-0.5255740231899236
1460,8,0.485,0.39,0.085,3,0.2945,0.103,0.198,0,0,1,1.4045,0.14725,0.2715000000000001,-0.3099948943943079
1461,6,0.485,0.37,0.13,3,0.2485,0.105,0.1555,0,0,1,1.491,0.12425,0.32249999999999995,-0.3524406175110758
